PCB_ID,Layer_Count,Clock_Frequency_MHz,Rise_Time_ns,Signal_GND_Distance_mm,Trace_Length_mm,Stub_Length_mm,Differential_Pair_Symmetry,Ground_Plane,Shielding,Switching_Regulator,EMI_Score,Result
PCB_0331,2,405,3.97,1.09,190,4.75,84.1,1,0,0,90,FAIL
PCB_0332,2,227,4.17,2.24,292,8.49,87.0,0,1,1,90,FAIL
PCB_0333,8,150,5.86,0.75,240,3.83,82.5,0,1,0,40,PASS
PCB_0334,6,219,2.32,1.96,232,1.68,82.6,1,1,0,40,PASS
PCB_0335,4,469,2.51,1.75,75,8.36,93.5,0,1,1,95,FAIL
PCB_0336,8,365,5.1,1.75,121,5.49,97.2,0,0,0,80,FAIL
PCB_0337,2,333,7.67,2.02,211,1.89,99.3,1,1,1,75,FAIL
PCB_0338,6,142,6.39,1.69,219,7.2,92.6,0,0,0,80,FAIL
PCB_0339,8,136,3.32,2.65,252,5.11,83.7,1,0,1,60,FAIL
PCB_0340,8,115,4.59,2.06,246,6.04,82.1,0,0,0,75,FAIL
PCB_0341,6,387,2.12,1.69,158,4.61,96.3,1,1,0,55,PASS
PCB_0342,8,60,1.21,2.51,168,8.29,91.6,0,0,0,95,FAIL
PCB_0343,6,38,7.94,1.86,134,8.3,92.4,0,1,1,65,FAIL
PCB_0344,4,471,3.02,0.94,82,7.09,95.6,0,1,1,70,FAIL
PCB_0345,6,305,2.19,0.7,123,1.05,94.1,1,1,1,45,PASS
PCB_0346,6,306,7.07,0.54,175,8.39,96.7,0,1,1,75,FAIL
PCB_0347,6,416,6.37,2.71,292,6.71,81.1,0,1,1,100,FAIL
PCB_0348,8,414,6.52,2.16,25,6.97,95.0,1,0,0,60,FAIL
PCB_0349,8,355,2.67,2.82,166,3.63,97.0,1,0,0,60,FAIL
PCB_0350,6,429,2.71,1.85,203,8.79,85.7,0,1,0,95,FAIL
PCB_0351,8,191,2.6,1.47,47,7.25,92.8,0,0,0,65,FAIL
PCB_0352,2,10,2.15,0.27,57,1.13,86.3,0,1,0,50,PASS
PCB_0353,2,576,6.73,2.05,138,4.08,99.2,0,0,1,95,FAIL
PCB_0354,8,380,8.56,1.79,263,8.86,80.7,1,0,0,80,FAIL
PCB_0355,8,440,7.38,2.97,87,0.47,91.6,0,0,1,85,FAIL
PCB_0356,6,318,8.02,0.79,233,9.61,83.3,0,0,0,90,FAIL
PCB_0357,4,146,4.35,1.64,237,6.79,94.2,1,0,1,70,FAIL
PCB_0358,8,211,6.71,1.99,196,6.31,83.5,0,0,1,80,FAIL
PCB_0359,2,445,3.87,1.97,183,2.71,84.7,0,0,1,115,FAIL
PCB_0360,6,322,5.49,1.73,77,2.49,89.9,0,0,0,85,FAIL
PCB_0361,8,126,5.08,2.35,288,9.42,98.3,1,0,0,45,PASS
PCB_0362,2,584,2.18,0.69,77,2.98,84.2,1,0,0,65,FAIL
PCB_0363,2,253,4.18,2.2,124,7.76,82.9,0,0,0,85,FAIL
PCB_0364,4,546,9.66,1.9,247,3.93,95.2,0,0,1,95,FAIL
PCB_0365,6,84,2.86,2.7,266,1.39,90.0,1,0,1,55,PASS
PCB_0366,6,395,1.77,2.56,207,0.11,98.2,0,1,1,100,FAIL
PCB_0367,4,219,4.48,1.01,102,5.44,82.9,0,0,1,80,FAIL
PCB_0368,4,484,8.01,0.9,205,9.76,92.9,1,0,0,75,FAIL
PCB_0369,6,427,6.03,2.95,271,3.69,84.7,1,0,1,80,FAIL
PCB_0370,6,356,6.97,1.63,257,3.57,83.1,1,0,0,75,FAIL
PCB_0371,8,538,2.3,2.73,203,3.44,93.7,0,0,1,95,FAIL
PCB_0372,8,188,6.38,0.58,229,5.21,91.9,0,0,1,65,FAIL
PCB_0373,4,191,3.57,1.96,116,4.41,95.1,0,1,1,50,PASS
PCB_0374,8,34,8.43,2.45,227,8.8,86.2,0,1,0,65,FAIL
PCB_0375,2,189,6.48,2.85,156,5.06,89.0,1,1,0,65,FAIL
PCB_0376,8,510,2.39,1.08,203,5.08,88.1,0,0,1,105,FAIL
PCB_0377,8,170,1.11,2.2,95,1.38,99.7,0,0,1,70,FAIL
PCB_0378,2,186,0.91,1.66,161,9.83,85.8,1,0,1,100,FAIL
PCB_0379,4,294,4.03,0.28,256,2.5,85.9,1,1,0,30,PASS
PCB_0380,2,72,3.03,2.1,44,0.73,87.1,0,0,0,75,FAIL
PCB_0381,8,165,6.64,2.1,86,6.63,91.3,1,0,0,45,PASS
PCB_0382,4,478,5.24,2.8,269,5.95,85.0,1,1,1,85,FAIL
PCB_0383,8,58,3.03,1.54,137,4.15,98.3,0,1,0,35,PASS
PCB_0384,2,93,1.92,0.77,92,4.22,85.3,0,0,1,85,FAIL
PCB_0385,2,370,1.71,0.23,29,7.85,97.9,0,0,0,105,FAIL
PCB_0386,8,157,8.71,1.31,230,1.96,82.1,0,0,1,70,FAIL
PCB_0387,6,351,2.81,0.98,171,8.2,93.1,1,0,1,75,FAIL
PCB_0388,6,485,6.69,2.31,24,6.49,98.1,1,1,0,55,PASS
PCB_0389,2,72,8.2,1.13,214,4.19,83.4,0,0,1,90,FAIL
PCB_0390,2,369,6.33,2.85,132,4.58,99.4,0,0,1,95,FAIL
PCB_0391,6,570,8.67,2.89,290,2.57,89.1,1,1,1,70,FAIL
PCB_0392,6,336,4.23,1.9,182,7.52,98.9,0,0,0,95,FAIL
PCB_0393,8,150,9.58,2.79,124,5.13,93.5,0,0,1,70,FAIL
PCB_0394,8,224,1.76,2.31,200,3.21,86.0,0,1,0,75,FAIL
PCB_0395,6,444,1.47,1.69,63,5.96,83.8,0,1,0,105,FAIL
PCB_0396,8,327,6.76,0.62,194,9.96,86.1,1,0,1,70,FAIL
PCB_0397,8,41,9.46,1.43,181,4.35,81.9,0,1,0,55,PASS
PCB_0398,4,294,8.18,1.73,159,9.21,82.9,1,1,1,60,FAIL
PCB_0399,8,314,1.23,2.61,151,3.45,82.1,0,0,0,110,FAIL
PCB_0400,2,438,3.15,1.5,106,0.55,88.5,0,1,1,95,FAIL
PCB_0401,8,486,9.34,2.7,195,2.04,95.9,1,0,0,60,FAIL
PCB_0402,8,295,2.9,2.06,202,4.19,82.8,0,0,1,70,FAIL
PCB_0403,6,153,7.92,0.5,148,2.2,82.6,1,0,1,30,PASS
PCB_0404,2,433,8.34,2.99,265,0.0,92.9,0,0,1,115,FAIL
PCB_0405,8,28,5.21,1.63,108,9.15,83.9,0,1,1,60,FAIL
PCB_0406,8,27,4.17,1.24,85,8.44,82.0,0,0,0,65,FAIL
PCB_0407,4,599,4.78,2.01,177,7.42,83.3,0,0,0,110,FAIL
PCB_0408,8,380,2.66,0.42,168,1.68,98.5,0,0,1,70,FAIL
PCB_0409,8,184,8.95,1.95,135,1.2,96.4,1,0,0,25,PASS
PCB_0410,4,203,4.78,1.54,233,0.68,87.1,1,1,1,50,PASS
PCB_0411,6,511,8.88,1.28,272,7.24,93.1,0,1,1,100,FAIL
PCB_0412,8,122,1.5,2.86,162,9.29,90.7,0,1,0,85,FAIL
PCB_0413,4,123,9.89,1.62,269,4.31,93.5,1,0,0,55,PASS
PCB_0414,2,231,4.71,0.74,44,1.19,93.7,1,1,1,35,PASS
PCB_0415,6,273,0.95,1.43,296,5.12,92.6,0,1,0,90,FAIL
PCB_0416,2,64,0.86,2.77,89,3.49,85.3,0,0,1,100,FAIL
PCB_0417,2,467,7.59,0.61,132,3.75,80.8,1,1,0,55,PASS
PCB_0418,4,171,6.76,0.72,131,6.21,89.1,0,0,0,60,FAIL
PCB_0419,8,389,8.12,0.14,110,7.19,97.8,1,1,0,35,PASS
PCB_0420,4,96,1.5,0.14,37,1.11,91.4,0,1,0,60,FAIL
PCB_0421,4,64,0.84,2.51,168,0.36,96.6,1,1,0,55,PASS
PCB_0422,4,485,5.33,2.22,246,9.94,99.8,1,1,1,75,FAIL
PCB_0423,4,187,4.18,1.13,233,2.33,83.3,0,0,0,75,FAIL
PCB_0424,6,400,4.89,2.13,170,0.54,93.8,1,0,0,75,FAIL
PCB_0425,8,358,9.92,1.25,211,1.9,93.5,0,1,1,85,FAIL
PCB_0426,2,17,9.72,2.86,59,0.39,99.6,0,0,1,70,FAIL
PCB_0427,2,322,9.45,2.9,261,3.92,99.7,0,1,1,95,FAIL
PCB_0428,8,452,7.95,1.24,157,8.02,93.7,0,1,0,90,FAIL
PCB_0429,2,337,3.87,2.58,199,3.41,84.9,1,1,0,80,FAIL
PCB_0430,8,63,4.42,2.34,219,4.44,96.0,0,1,1,50,PASS
PCB_0431,2,248,5.72,1.0,222,6.76,82.1,0,1,1,75,FAIL
PCB_0432,4,238,8.39,0.77,80,5.09,95.6,0,1,1,45,PASS
PCB_0433,2,588,1.15,1.43,211,8.61,98.2,0,0,1,135,FAIL
PCB_0434,8,60,4.53,2.37,24,8.66,87.7,1,0,0,45,PASS
PCB_0435,8,273,1.28,2.88,256,0.1,92.6,0,1,0,75,FAIL
PCB_0436,8,427,5.39,2.31,200,7.78,88.6,1,0,0,80,FAIL
PCB_0437,8,105,9.04,2.58,56,4.61,88.8,1,1,0,25,PASS
PCB_0438,8,97,7.93,1.85,75,9.89,86.2,1,0,0,45,PASS
PCB_0439,6,87,2.66,2.52,256,4.83,95.2,0,0,1,65,FAIL
PCB_0440,6,297,9.77,2.37,216,9.87,98.7,0,0,0,70,FAIL
PCB_0441,2,129,6.84,1.19,92,7.55,98.8,0,1,1,70,FAIL
PCB_0442,8,500,0.6,1.7,78,2.49,83.5,0,0,1,105,FAIL
PCB_0443,2,461,2.93,2.43,259,5.38,97.5,1,1,1,85,FAIL
PCB_0444,8,509,2.98,0.23,21,9.92,94.7,1,1,0,45,PASS
PCB_0445,8,174,1.16,2.44,207,8.58,85.1,0,1,1,90,FAIL
PCB_0446,6,191,9.62,0.62,49,0.97,81.3,0,0,0,45,PASS
PCB_0447,6,478,5.04,1.59,286,7.06,85.4,0,0,1,110,FAIL
PCB_0448,4,16,9.01,2.44,127,3.46,98.2,0,0,0,55,PASS
PCB_0449,6,339,3.56,0.84,109,0.07,92.7,0,1,1,65,FAIL
PCB_0450,4,160,1.69,0.81,224,4.03,94.4,0,1,0,70,FAIL
PCB_0451,4,94,5.01,1.27,239,2.35,85.1,0,0,1,80,FAIL
PCB_0452,4,156,1.58,2.69,113,8.19,94.4,1,1,1,70,FAIL
PCB_0453,4,390,5.12,0.1,122,3.37,80.6,1,0,1,60,FAIL
PCB_0454,4,557,9.24,2.71,242,8.28,87.5,1,0,1,95,FAIL
PCB_0455,2,294,5.45,0.55,205,0.01,92.5,1,0,0,50,PASS
PCB_0456,6,91,6.36,2.97,203,3.08,82.9,0,0,0,70,FAIL
PCB_0457,4,523,1.99,2.87,181,2.41,96.5,0,1,0,100,FAIL
PCB_0458,8,532,0.92,1.53,266,2.34,84.7,0,0,1,115,FAIL
PCB_0459,6,395,1.55,1.59,50,0.68,93.0,0,0,1,110,FAIL
PCB_0460,6,480,6.19,1.5,71,1.87,88.1,0,0,1,90,FAIL
PCB_0461,4,128,1.4,1.94,95,5.56,91.9,1,0,1,80,FAIL
PCB_0462,2,405,4.07,0.36,297,2.91,82.1,0,0,1,100,FAIL
PCB_0463,4,541,5.73,0.19,59,4.17,80.3,1,0,1,60,FAIL
PCB_0464,2,270,4.19,0.27,120,3.77,98.2,0,0,0,50,PASS
PCB_0465,8,265,2.05,1.39,130,8.76,85.4,1,1,0,35,PASS
PCB_0466,6,235,3.1,0.9,268,9.05,96.4,0,1,0,45,PASS
PCB_0467,8,62,9.32,1.9,210,4.93,100.0,1,1,0,25,PASS
PCB_0468,2,509,6.92,2.98,201,3.3,84.2,0,1,0,100,FAIL
PCB_0469,2,515,5.21,1.22,228,1.07,85.3,0,0,0,110,FAIL
PCB_0470,8,373,0.62,1.76,41,9.53,93.3,0,1,0,100,FAIL
PCB_0471,2,289,9.93,1.31,185,0.6,99.3,0,1,0,65,FAIL
PCB_0472,8,167,6.88,2.56,118,2.98,98.3,1,1,1,20,PASS
PCB_0473,6,68,3.51,2.72,227,2.98,90.1,0,0,1,75,FAIL
PCB_0474,8,137,8.85,2.64,27,3.2,95.9,1,1,1,20,PASS
PCB_0475,6,124,2.96,2.93,209,1.64,82.7,0,1,1,65,FAIL
PCB_0476,8,218,5.67,0.18,194,7.83,99.5,1,0,1,35,PASS
PCB_0477,2,535,6.54,2.54,292,1.22,99.3,0,1,1,95,FAIL
PCB_0478,8,530,2.6,2.28,36,6.35,83.3,0,0,1,95,FAIL
PCB_0479,2,561,9.79,0.76,109,1.24,86.0,1,1,0,55,PASS
PCB_0480,8,246,7.61,2.87,160,0.71,82.0,0,0,0,65,FAIL
PCB_0481,8,290,5.8,0.53,164,9.09,85.4,0,1,1,55,PASS
PCB_0482,4,368,2.22,2.07,185,1.9,96.3,1,1,0,60,FAIL
PCB_0483,2,210,1.01,0.75,97,8.21,87.6,0,1,0,80,FAIL
PCB_0484,4,287,3.54,1.35,281,5.45,81.8,1,0,0,65,FAIL
PCB_0485,2,244,7.66,2.19,182,0.78,86.8,0,1,0,75,FAIL
PCB_0486,4,503,3.06,1.73,33,9.55,99.6,1,0,0,70,FAIL
PCB_0487,6,13,5.63,1.34,258,2.47,92.6,1,0,1,55,PASS
PCB_0488,8,451,7.42,1.05,91,8.6,88.3,1,0,0,70,FAIL
PCB_0489,2,38,1.53,2.54,162,1.69,83.3,1,0,1,90,FAIL
PCB_0490,2,118,7.01,0.52,288,8.54,99.7,0,1,1,65,FAIL
PCB_0491,8,84,1.37,1.35,260,0.13,96.4,0,1,1,70,FAIL
PCB_0492,2,155,9.67,2.72,264,5.12,85.6,1,1,0,65,FAIL
PCB_0493,2,137,5.14,2.55,182,7.69,81.4,0,0,1,100,FAIL
PCB_0494,4,51,1.93,1.26,79,9.35,81.1,0,1,1,90,FAIL
PCB_0495,2,365,3.75,2.31,25,9.09,82.4,0,0,1,115,FAIL
PCB_0496,6,50,4.43,2.49,216,8.2,91.6,1,0,1,65,FAIL
PCB_0497,6,43,7.7,2.68,77,8.88,98.6,0,0,0,60,FAIL
PCB_0498,8,26,7.56,1.68,236,1.99,89.9,0,1,1,60,FAIL
PCB_0499,2,162,6.31,0.69,45,2.84,96.9,1,1,1,25,PASS
PCB_0500,8,387,1.51,0.84,24,2.89,88.9,0,0,1,90,FAIL
PCB_0501,6,597,1.94,0.96,39,3.77,94.2,1,1,1,65,FAIL
PCB_0502,2,351,1.39,1.82,217,3.93,94.6,1,1,0,100,FAIL
PCB_0503,2,36,5.98,0.2,78,5.45,83.5,1,0,1,55,PASS
PCB_0504,8,296,8.83,1.94,261,1.6,87.2,0,0,1,70,FAIL
PCB_0505,6,177,4.62,1.16,165,6.91,92.7,0,1,1,75,FAIL
PCB_0506,2,277,2.03,0.96,292,1.68,81.4,1,0,1,55,PASS
PCB_0507,8,464,5.8,2.65,268,3.1,87.2,1,0,1,75,FAIL
PCB_0508,6,410,8.21,1.43,33,5.03,90.7,1,1,1,70,FAIL
PCB_0509,8,485,7.55,0.38,32,7.96,99.9,1,1,0,35,PASS
PCB_0510,4,567,8.87,2.5,63,7.39,89.5,1,0,1,85,FAIL
PCB_0511,2,585,3.14,0.24,38,6.46,96.3,1,1,0,55,PASS
PCB_0512,4,139,2.34,2.21,82,1.56,88.6,0,0,0,65,FAIL
PCB_0513,6,372,8.86,2.34,258,5.47,95.9,1,0,1,80,FAIL
PCB_0514,4,301,6.75,1.12,119,0.87,91.9,1,1,0,60,FAIL
PCB_0515,4,380,3.45,2.49,182,3.77,97.7,1,0,1,75,FAIL
PCB_0516,6,38,7.55,1.6,141,4.14,88.2,0,0,0,60,FAIL
PCB_0517,8,158,8.24,1.44,63,0.4,92.1,0,0,1,60,FAIL
PCB_0518,4,305,6.34,0.23,164,2.74,92.6,0,1,0,75,FAIL
PCB_0519,8,20,7.03,0.94,69,9.56,88.3,0,1,0,40,PASS
PCB_0520,4,521,4.06,2.8,84,9.54,82.9,1,1,1,75,FAIL
PCB_0521,8,122,5.62,1.24,183,3.52,81.9,0,0,0,65,FAIL
PCB_0522,6,196,5.48,1.69,160,0.43,80.3,1,0,0,50,PASS
PCB_0523,4,236,8.56,1.64,147,1.79,97.5,1,1,0,25,PASS
PCB_0524,6,319,8.48,1.81,258,3.92,84.7,1,1,0,65,FAIL
PCB_0525,4,107,8.41,0.28,206,9.48,84.2,1,1,0,40,PASS
PCB_0526,6,64,0.6,1.15,227,1.41,94.7,1,0,1,75,FAIL
PCB_0527,6,415,7.62,2.2,239,7.64,86.4,1,1,0,75,FAIL
PCB_0528,4,78,7.71,0.68,209,1.09,90.1,0,0,0,60,FAIL
PCB_0529,4,321,6.94,0.69,256,9.81,83.3,0,1,1,90,FAIL
PCB_0530,4,298,7.68,0.13,213,3.82,99.2,0,0,1,55,PASS
PCB_0531,2,557,8.5,1.37,278,7.75,97.0,0,0,1,115,FAIL
PCB_0532,8,157,4.97,2.66,265,3.43,97.3,0,1,0,45,PASS
PCB_0533,2,476,5.27,0.25,155,6.28,88.1,1,0,0,85,FAIL
PCB_0534,2,253,1.68,0.65,299,1.92,95.2,0,1,0,70,FAIL
PCB_0535,6,500,4.16,1.0,290,1.46,82.9,0,0,0,80,FAIL
PCB_0536,4,516,6.61,2.22,190,9.38,80.2,0,0,1,115,FAIL
PCB_0537,8,374,7.91,1.96,178,9.18,80.4,1,1,1,75,FAIL
PCB_0538,6,491,2.56,1.31,220,8.87,91.7,1,0,0,85,FAIL
PCB_0539,2,210,1.81,2.3,64,6.25,89.1,1,1,0,75,FAIL
PCB_0540,4,163,6.8,1.87,283,8.08,90.4,0,1,0,75,FAIL
PCB_0541,6,459,0.52,2.7,90,0.69,80.1,0,1,0,95,FAIL
PCB_0542,4,510,2.19,2.47,122,3.35,88.5,0,0,1,95,FAIL
PCB_0543,6,82,0.78,0.83,144,3.14,94.4,0,0,1,70,FAIL
PCB_0544,4,305,2.09,0.89,249,6.36,88.9,0,0,0,95,FAIL
PCB_0545,2,26,2.22,0.46,165,3.56,94.6,1,1,1,45,PASS
PCB_0546,8,226,4.18,1.08,216,1.49,84.7,0,1,0,55,PASS
PCB_0547,2,70,4.32,3.0,240,5.96,96.3,1,0,0,65,FAIL
PCB_0548,8,51,8.81,1.28,79,8.14,91.8,0,0,1,70,FAIL
PCB_0549,4,34,5.35,0.74,117,3.82,84.2,1,1,0,20,PASS
PCB_0550,6,48,7.37,2.31,190,1.32,84.7,1,0,1,55,PASS
PCB_0551,2,140,1.49,1.67,192,1.97,92.6,1,1,0,75,FAIL
PCB_0552,8,507,2.64,0.53,170,2.37,96.6,1,0,1,50,PASS
PCB_0553,2,238,7.18,1.2,141,3.0,88.3,0,1,0,65,FAIL
PCB_0554,8,117,1.0,1.3,127,6.43,85.2,0,0,1,90,FAIL
PCB_0555,2,181,5.12,2.29,23,6.01,97.3,0,0,0,75,FAIL
PCB_0556,8,444,6.19,0.16,112,6.96,93.4,1,1,0,45,PASS
PCB_0557,8,487,6.22,0.88,25,3.63,89.0,0,1,1,60,FAIL
PCB_0558,4,111,0.72,1.6,125,8.24,89.8,0,1,0,85,FAIL
PCB_0559,8,533,3.56,0.88,165,2.04,84.1,0,0,1,80,FAIL
PCB_0560,4,284,6.55,1.92,290,4.69,92.5,0,1,1,70,FAIL
PCB_0561,8,53,1.92,1.5,115,8.01,87.2,1,1,0,55,PASS
PCB_0562,6,26,7.11,1.15,248,1.8,99.9,1,0,0,40,PASS
PCB_0563,6,339,7.59,2.85,221,1.1,89.6,0,1,0,85,FAIL
PCB_0564,6,578,9.83,1.93,231,8.84,89.7,0,1,0,95,FAIL
PCB_0565,8,506,2.49,0.48,25,3.43,91.3,0,1,1,60,FAIL
PCB_0566,4,21,8.34,1.72,131,6.84,98.3,1,0,0,45,PASS
PCB_0567,4,327,5.44,2.36,125,0.25,96.0,1,0,0,60,FAIL
PCB_0568,8,225,4.05,2.15,158,6.9,89.0,1,0,0,55,PASS
PCB_0569,6,348,1.66,0.6,115,3.16,94.4,0,1,1,85,FAIL
PCB_0570,6,90,7.49,2.92,233,0.56,91.7,1,0,0,50,PASS
PCB_0571,4,494,2.74,1.4,41,6.1,89.8,1,1,1,75,FAIL
PCB_0572,6,383,4.03,0.56,212,2.41,83.8,1,1,0,50,PASS
PCB_0573,2,209,1.09,0.62,169,3.87,89.3,1,1,1,65,FAIL
PCB_0574,4,546,8.11,0.38,266,0.81,84.9,1,0,0,65,FAIL
PCB_0575,6,475,7.78,2.43,286,1.47,98.3,0,0,0,85,FAIL
PCB_0576,4,98,7.47,0.45,270,2.98,86.7,0,1,1,55,PASS
PCB_0577,2,277,3.34,0.46,22,0.9,99.0,0,1,0,40,PASS
PCB_0578,4,580,2.15,2.57,95,9.11,90.7,0,0,0,100,FAIL
PCB_0579,4,498,6.56,1.1,106,0.06,92.6,1,0,0,70,FAIL
PCB_0580,4,547,5.21,0.19,289,4.84,90.9,0,0,1,90,FAIL
PCB_0581,4,56,2.19,0.25,244,1.23,82.6,0,1,0,50,PASS
PCB_0582,2,297,7.02,0.51,37,3.08,87.5,0,0,1,65,FAIL
PCB_0583,8,25,9.92,0.72,132,9.26,82.0,1,0,1,35,PASS
PCB_0584,4,410,7.6,2.03,270,1.62,92.5,0,0,1,105,FAIL
PCB_0585,4,95,7.53,0.56,252,9.66,88.9,1,1,0,40,PASS
PCB_0586,6,259,9.53,0.44,298,2.06,95.6,1,0,1,30,PASS
PCB_0587,4,400,2.43,2.32,221,7.42,84.4,1,1,1,85,FAIL
PCB_0588,6,344,5.87,2.05,102,5.47,83.3,0,1,0,85,FAIL
PCB_0589,8,528,9.81,1.36,144,8.84,88.1,1,1,1,65,FAIL
PCB_0590,2,146,2.07,1.69,194,5.54,98.5,0,0,1,90,FAIL
PCB_0591,2,507,7.15,1.0,88,5.35,94.2,0,0,0,95,FAIL
PCB_0592,8,486,6.07,1.5,66,1.95,88.4,0,0,0,80,FAIL
PCB_0593,2,232,6.07,1.57,275,1.66,90.3,1,1,1,60,FAIL
PCB_0594,8,381,7.13,1.22,234,9.16,81.7,1,0,0,80,FAIL
PCB_0595,8,411,9.33,2.73,49,3.28,99.7,0,1,0,60,FAIL
PCB_0596,8,452,7.93,0.15,256,3.72,93.3,1,0,0,55,PASS
PCB_0597,2,499,1.03,2.37,267,7.6,85.7,1,0,1,125,FAIL
PCB_0598,6,282,8.6,0.46,44,3.39,91.7,1,0,1,30,PASS
PCB_0599,8,535,2.64,2.41,93,9.52,82.2,0,0,0,90,FAIL
PCB_0600,4,168,4.08,1.89,225,7.38,99.3,1,1,1,50,PASS
PCB_0601,2,161,4.89,2.55,113,5.97,83.5,1,1,0,55,PASS
PCB_0602,8,197,5.07,0.38,146,8.81,93.0,0,1,0,40,PASS
PCB_0603,8,107,4.63,1.72,44,0.5,84.9,1,1,0,25,PASS
PCB_0604,4,140,9.4,1.55,135,2.57,94.4,0,0,0,65,FAIL
PCB_0605,6,180,7.21,2.15,67,4.65,95.5,1,1,0,20,PASS
PCB_0606,6,192,6.5,1.65,245,2.27,93.5,1,1,1,45,PASS
PCB_0607,6,373,0.97,1.67,285,7.44,92.3,1,1,1,100,FAIL
PCB_0608,8,48,9.09,1.35,118,9.19,97.8,1,0,1,40,PASS
PCB_0609,8,536,9.14,1.0,30,4.24,81.6,1,1,1,40,PASS
PCB_0610,8,506,7.91,1.5,104,3.42,86.6,1,1,0,50,PASS
PCB_0611,2,525,0.57,0.44,233,9.62,85.0,0,0,0,125,FAIL
PCB_0612,4,358,1.04,2.89,192,4.45,99.8,1,0,1,95,FAIL
PCB_0613,8,406,2.64,2.17,228,4.89,87.8,1,1,1,65,FAIL
PCB_0614,4,170,1.75,2.86,83,3.52,94.7,1,1,0,55,PASS
PCB_0615,4,25,4.29,0.76,277,9.1,93.7,0,0,0,70,FAIL
PCB_0616,6,502,9.26,2.65,140,5.69,84.2,0,1,0,85,FAIL
PCB_0617,2,435,4.98,2.45,73,7.62,84.8,0,0,1,115,FAIL
PCB_0618,8,117,0.63,2.06,291,8.12,85.6,1,1,0,65,FAIL
PCB_0619,6,459,3.19,1.91,260,3.42,88.2,1,1,0,65,FAIL
PCB_0620,6,320,0.92,1.02,262,4.34,84.7,0,1,1,110,FAIL
PCB_0621,8,179,0.84,2.47,37,8.48,80.4,0,1,1,80,FAIL
PCB_0622,4,555,3.12,1.55,206,3.63,97.6,0,1,1,85,FAIL
PCB_0623,6,423,3.12,0.31,163,7.94,99.3,1,0,0,60,FAIL
PCB_0624,4,260,7.98,1.01,281,9.41,86.8,0,0,0,85,FAIL
PCB_0625,2,150,9.76,2.81,258,6.23,86.8,1,1,1,70,FAIL
PCB_0626,4,283,4.03,2.57,95,7.42,80.1,1,1,0,45,PASS
PCB_0627,2,425,4.57,2.95,207,8.05,93.6,1,1,0,90,FAIL
PCB_0628,4,48,8.53,1.92,265,8.45,96.5,0,0,0,75,FAIL
PCB_0629,6,38,3.05,0.82,149,3.95,82.9,1,0,1,30,PASS
PCB_0630,6,486,1.99,0.57,98,0.51,83.2,0,0,1,95,FAIL
PCB_0631,2,327,8.6,0.64,91,4.02,95.8,0,0,0,75,FAIL
PCB_0632,8,254,0.94,0.16,282,6.74,92.3,0,0,0,80,FAIL
PCB_0633,2,281,6.39,1.23,210,4.5,80.9,0,0,0,85,FAIL
PCB_0634,2,449,5.84,0.66,82,7.49,92.5,1,0,0,75,FAIL
PCB_0635,4,248,3.79,1.29,31,3.57,86.2,1,0,1,50,PASS
PCB_0636,4,386,3.49,2.81,160,6.35,87.4,1,1,1,85,FAIL
PCB_0637,2,275,7.83,1.35,273,1.86,95.4,1,0,0,55,PASS
PCB_0638,6,368,1.32,2.65,62,7.49,96.2,0,0,0,105,FAIL
PCB_0639,4,349,2.75,1.86,36,5.46,88.0,0,0,1,105,FAIL
PCB_0640,8,398,7.46,0.82,82,2.04,98.9,0,0,0,55,PASS
PCB_0641,4,586,5.71,1.13,272,2.92,88.1,0,1,1,95,FAIL
PCB_0642,4,12,1.72,0.34,27,7.49,95.4,1,0,0,50,PASS
PCB_0643,8,438,8.88,1.07,109,4.83,89.7,0,1,1,75,FAIL
PCB_0644,2,151,4.24,2.06,227,2.16,98.0,1,1,0,45,PASS
PCB_0645,8,385,8.36,0.31,137,9.67,98.2,0,1,0,55,PASS
PCB_0646,2,333,7.98,0.7,194,7.15,81.7,0,0,1,110,FAIL
PCB_0647,2,155,6.43,1.21,95,9.57,98.7,0,0,1,80,FAIL
PCB_0648,2,302,5.2,2.95,120,4.27,96.5,0,0,0,90,FAIL
PCB_0649,8,441,9.81,2.38,170,4.75,95.8,1,1,0,50,PASS
PCB_0650,2,594,1.88,2.23,289,8.98,84.0,1,1,1,115,FAIL
PCB_0651,6,408,7.39,0.44,90,5.25,96.1,1,1,1,45,PASS
PCB_0652,8,353,2.32,2.36,199,7.07,97.0,1,1,0,60,FAIL
PCB_0653,6,149,3.71,2.38,143,2.52,85.8,0,0,0,60,FAIL
PCB_0654,2,196,3.43,1.84,214,4.47,99.0,0,0,1,80,FAIL
PCB_0655,4,70,9.5,2.97,247,1.23,81.0,1,0,1,60,FAIL
PCB_0656,2,389,9.69,1.04,294,2.06,83.0,1,1,1,85,FAIL
PCB_0657,6,449,2.24,2.83,125,0.01,90.8,0,1,1,80,FAIL
PCB_0658,6,328,0.71,2.75,40,0.39,91.5,0,0,1,110,FAIL
PCB_0659,8,311,7.34,0.13,83,9.77,92.9,1,0,0,55,PASS
PCB_0660,4,353,4.47,1.41,184,2.42,80.3,1,1,0,70,FAIL
PCB_0661,8,20,1.34,2.93,46,6.63,99.2,1,0,1,60,FAIL
PCB_0662,6,71,7.0,0.4,167,8.39,80.9,0,0,0,65,FAIL
